ws,wd,m1,m10,m100,lh,lw
5.7539,260,12.43,13.43,14.93,30,60
8.05546,230,11.65,12.65,14.15,30,60
10.35702,220,9.97,10.97,12.47,30,60
8.05546,230,9.66,10.66,12.16,30,60
13.80936,240,9.4,10.4,11.9,30,60
13.80936,230,9,10,11.5,30,60
11.5078,240,8.56,9.56,11.06,30,60
17.2617,240,7.64,8.64,10.14,30,60
12.65858,230,6.61,7.61,9.11,30,60
18.41248,230,5.66,6.66,8.16,30,60
19.56326,240,4.08,5.08,6.58,30,60
18.41248,240,4.43,5.43,6.93,30,60
16.11092,210,5.35,6.35,7.85,30,60
23.0156,240,3.67,4.67,6.17,30,60
24.16638,230,3.66,4.66,6.16,30,60
18.41248,220,4.77,5.77,7.27,30,60
20.71404,230,3.96,4.96,6.46,30,60
18.41248,230,3.56,4.56,6.06,30,60
19.56326,220,3.38,4.38,5.88,30,60
14.96014,230,3.31,4.31,5.81,30,60
16.11092,240,2.84,3.84,5.34,30,60
14.96014,240,2.68,3.68,5.18,30,60
14.96014,240,2.84,3.84,5.34,30,60
11.5078,240,2.84,3.84,5.34,30,60
13.80936,250,3.06,4.06,5.56,30,60
10.35702,230,3.51,4.51,6.01,30,60
10.35702,230,3.89,4.89,6.39,30,60
6.90468,220,4.8,5.8,7.3,30,60
5.7539,190,5.43,6.43,7.93,30,60
6.90468,210,5.2,6.2,7.7,30,60
8.05546,210,4.97,5.97,7.47,30,60
4.60312,270,7.83,8.83,10.33,30,60
0,0,6.06,7.06,8.56,30,60
0,0,5.26,6.26,7.76,30,60
0,0,5.59,6.59,8.09,30,60
3.45234,250,7.08,8.08,9.58,30,60
5.7539,240,11.59,12.59,14.09,30,60
0,0,9.69,10.69,12.19,30,60
0,0,9.44,10.44,11.94,30,60
5.7539,170,10.44,11.44,12.94,30,60
3.45234,250,11.7,12.7,14.2,30,60
4.60312,210,10.24,11.24,12.74,30,60
4.60312,190,9.09,10.09,11.59,30,60
4.60312,280,9.55,10.55,12.05,30,60
6.90468,240,7.76,8.76,10.26,30,60
3.45234,170,10.55,11.55,13.05,30,60
6.90468,280,11.05,12.05,13.55,30,60
3.45234,340,9.55,10.55,12.05,30,60
8.05546,250,7.97,8.97,10.47,30,60
8.05546,230,10.26,11.26,12.76,30,60
6.90468,210,11.2,12.2,13.7,30,60
6.90468,230,11.1,12.1,13.6,30,60
4.60312,230,10.92,11.92,13.42,30,60
0,0,11.75,12.75,14.25,30,60
8.05546,270,10.62,11.62,13.12,30,60
5.7539,210,13.32,14.32,15.82,30,60
0,0,13.45,14.45,15.95,30,60
0,0,12.49,13.49,14.99,30,60
0,0,14.43,15.43,16.93,30,60
5.7539,250,14.51,15.51,17.01,30,60
0,0,18.06,19.06,20.56,30,60
4.60312,200,17.76,18.76,20.26,30,60
8.05546,200,19.32,20.32,21.82,30,60
6.90468,200,17.43,18.43,19.93,30,60
0,0,18.14,19.14,20.64,30,60
5.7539,210,16.85,17.85,19.35,30,60
6.90468,210,15.82,16.82,18.32,30,60
9.20624,230,17.17,18.17,19.67,30,60
5.7539,240,16.41,17.41,18.91,30,60
5.7539,220,14.51,15.51,17.01,30,60
6.90468,260,14.3,15.3,16.8,30,60
